연번,사업장명,소재지지번주소,소재지도로명주소,데이터기준일자
358,델 플라워 카페,"인천광역시 중구 하늘중앙로 193, 조양타워 1층 130호 일부 (중산동)",인천광역시 중구 중산동 1882-1 조양타워 1층 130호 일부 ,2022-08-12
359,성수미술관 영종도점,"인천광역시 중구 은하수로 12, 구읍뱃터프라자 7층 702호 일부 (중산동)",인천광역시 중구 중산동 1948-1 구읍뱃터프라자 7층 702호 일부 ,2022-08-12
360,디저트카페웜뱃(WOMBAT),"인천광역시 중구 화랑목로 66-9, 1층 일부 (운서동)",인천광역시 중구 운서동 3029-7 1층 일부 ,2022-08-12
361,다올,"인천광역시 중구 햇내로안길 18-6, 1층 (운서동)",인천광역시 중구 운서동 3043-4 1층 ,2022-08-12
362,씨제이프레시웨이(주)아레나스영종물류센터점 카페,"인천광역시 중구 영종순환로900번길 30, 아레나스영종물류센터 6층 일부 (운북동)",인천광역시 중구 운북동 1328-1 아레나스영종물류센터 6층 일부 ,2022-08-12
363,카페카라멜,"인천광역시 중구 햇내로안길 3, 1층 일부 (운서동)",인천광역시 중구 운서동 3041-8 1층 일부 ,2022-08-12
364,카페 마페킹,"인천광역시 중구 신포로23번길 62, 1층 (중앙동2가)",인천광역시 중구 중앙동2가 11 1층 ,2022-08-12
365,더벤티 영종별빛광장점,"인천광역시 중구 하늘별빛로65번길 17, 티엠티타워 1층 102호 (중산동)",인천광역시 중구 중산동 1885-10 티엠티타워 1층 102호 ,2022-08-12
366,카페게이트 인천운서점,"인천광역시 중구 영종대로196번길 26, 응답하라1976 1층 106호 (운서동)",인천광역시 중구 운서동 3092-5 응답하라1976 1층 106호,2022-08-12
367,피에스타7커피 도원스타디움,"인천광역시 중구 참외전로 260, 스타디움 센트럴시티 301동 112호 (도원동)",인천광역시 중구 도원동 75 스타디움 센트럴시티 301동 112호,2022-08-12
368,설빙 영종도점,"인천광역시 중구 하늘중앙로195번길 20, 마지그라운드 2층 205호 (중산동)",인천광역시 중구 중산동 1884-2 마지그라운드 2층 205호 ,2022-08-12
369,비에이커,"인천광역시 중구 차이나타운로52번길 6, 1층 (북성동2가)",인천광역시 중구 북성동2가 10-27 1층 ,2022-08-12
370,달콤비욘드트러스트호점,"인천광역시 중구 연안부두로 88, 인천항 연안여객터미널 제주행 비욘드트러스트호 5층 (항동7가)",인천광역시 중구 항동7가 85-72 인천항 연안여객터미널 제주행 비욘드트러스트호 5층 ,2022-08-12
371,카사(casa),"인천광역시 중구 우현로35번길 21, 1층 일부 및 2층 (신생동)",인천광역시 중구 신생동 2-5 1층 일부 및 2층 ,2022-08-12
372,(주)바운스 스포키 영종도센터,"인천광역시 중구 영종대로196번길 15-25, 120동 2층 252호 (운서동, 운서역 반도유보라 퍼스티지)",인천광역시 중구 운서동 3099-4 운서역 반도유보라 퍼스티지 120동 252호,2022-08-12
373,원바이트 투스푼,"인천광역시 중구 도원로14번길 15-2, 1층 일부 (선화동)",인천광역시 중구 선화동 7-17 1층 일부 ,2022-08-12
374,메가엠지씨커피 영종운남점,"인천광역시 중구 관창로 2, 1층 103,104,105호 (운남동)",인천광역시 중구 운남동 1524-7 ,2022-08-12
375,빽다방 영종운서스카이점,"인천광역시 중구 흰바위로 284, 디딤돌프라자 1층 103호 (운남동)",인천광역시 중구 운남동 1599-11 디딤돌프라자 ,2022-08-12
376,텐퍼센트 커피,"인천광역시 중구 흰바위로 262, 럭키프라자 1층 105호 (운남동)",인천광역시 중구 운남동 1602-6 ,2022-08-12
377,한이답지,"인천광역시 중구 백운로 110-20, 1층 (중산동)",인천광역시 중구 중산동 1225-8 ,2022-08-12
378,제이브로커피,"인천광역시 중구 용유서로 356, 2층 201호 (을왕동)",인천광역시 중구 을왕동 762-25 ,2022-08-12
379,트윗젤 인천공항2호점,"인천광역시 중구 공항로 272, 인천공항제1여객터미널 일반동 4층 (운서동)",인천광역시 중구 운서동 2840 동편 FB3(FB-P6-54) ,2022-08-12
380,트윗젤 인천공항1호점,"인천광역시 중구 공항로 272, 인천공항제1여객터미널 일반동 4층 (운서동)",인천광역시 중구 운서동 2840 서편 FB3(FB-P6-44) ,2022-08-12
381,담장아래 볕,"인천광역시 중구 왕산로 68-22, 1층 (을왕동)",인천광역시 중구 을왕동 880-5 ,2022-08-12
382,카페게이트 영종중산점,"인천광역시 중구 두미포로 113, 상가동 1층 118호 (중산동, 인천영종하늘 호반써밋 스카이센트럴)",인천광역시 중구 중산동 1888-1 인천영종하늘 호반써밋 스카이센트럴(981동 근린생활시설-2) 상가동 118호,2022-08-12
383,시나본 인천공항 문화의거리점,"인천광역시 중구 공항로 272, 인천공항제1터미널 일반동 4층 (운서동)",인천광역시 중구 운서동 2840 인천공항 ,2022-08-12
384,옛길전통차전문점,"인천광역시 중구 송학로 13 (송학동2가, 2층)",인천광역시 중구 송학동2가 1-4 2층 ,2022-08-12
385,마담티(마음담은꽃차),"인천광역시 중구 홍예문로68번길 25, 1층 (전동)",인천광역시 중구 전동 18-21 1층 ,2022-08-12
386,꽃피는 나무 아래서,"인천광역시 중구 햇내로안길 38-1, 101(일부)호 (운서동)",인천광역시 중구 운서동 3031-13 ,
