연번,사업장명,소재지지번주소,소재지도로명주소,데이터기준일자
79,홍익갤러리,"인천광역시 중구 하늘별빛로65번길 7-4, 404호 (중산동, 현대프라자)",인천광역시 중구 중산동 1885-1 현대프라자 404호,2022-08-12
80,타임플러스,"인천광역시 중구 운서로7번길 15, 지하1~1층 102호 (운서동)",인천광역시 중구 운서동 3060-24 ,2022-08-12
81,컴포즈 영종 운남점,"인천광역시 중구 운남안길 10, 1층 3,4호 (운남동)",인천광역시 중구 운남동 1515-4 ,2022-08-12
82,카페나예(cafe Naye),인천광역시 중구 차이나타운로 56-1 (선린동),인천광역시 중구 선린동 32-4 1층 ,2022-08-12
83,겨자씨 꽃카페(M.Seed COFFEE & FLOWER),"인천광역시 중구 연안부두로33번길 13, 1층 (항동7가, 외 2필지)","인천광역시 중구 항동7가 27-119 외 2필지, 1층 ",2022-08-12
84,(주)동원홈푸드 한국면세점협회 카페및매점점,"인천광역시 중구 공항동로296번길 97-26, 3층 (운서동, 한국면세점협회 제2통합물류창고 운영동)",인천광역시 중구 운서동 3168-1 한국면세점협회 제2통합물류창고 운영동 ,2022-08-12
85,씨제이프레시웨이(주)파라다이스시티,"인천광역시 중구 영종해안남로321번길 186, 지하1층 (운서동, 파라다이스시티)",인천광역시 중구 운서동 2874 ,2022-08-12
86,DALL커피,"인천광역시 중구 인항로 6 (신흥동3가, 1층)",인천광역시 중구 신흥동3가 7-308 1층 ,2022-08-12
87,이디야 운남중앙점,"인천광역시 중구 운남안길 16, 103,104호 (운남동)",인천광역시 중구 운남동 1515-8 ,2022-08-12
88,아토커피,인천광역시 중구 제물량로 270-1 (북성동2가),인천광역시 중구 북성동2가 12-30 ,2022-08-12
89,할리스커피,"인천광역시 중구 하늘달빛로 90-21, 1,2층 (중산동, KP타워)",인천광역시 중구 중산동 1876-9 ,2022-08-12
90,느호,인천광역시 중구 신포로39번길 23 (송학동3가),인천광역시 중구 송학동3가 7-9 ,2022-08-12
91,Breath.30,"인천광역시 중구 공항로424번길 72, 104호 (운서동, IBC디오빌)",인천광역시 중구 운서동 2850-7 IBC디오빌 104호,2022-08-12
92,커피엔티크,"인천광역시 중구 우현로62번길 3, 1층 (용동)",인천광역시 중구 용동 238-7 1층 ,2022-08-12
93,스타벅스 영종도운서역점,"인천광역시 중구 신도시남로142번길 17, 105,106,107,108,204,205호 (운서동)",인천광역시 중구 운서동 2804-3 ,2022-08-12
94,G-까페,"인천광역시 중구 공항동로296번길 98-11, B동 1층 (운서동, (주)글로지스)",인천광역시 중구 운서동 3170-8 (주)글로지스 B동 1층 ,2022-08-12
95,우물옆그집,"인천광역시 중구 동화마을길 49, 1층 (송월동3가)",인천광역시 중구 송월동3가 3-37 1층 ,2022-08-12
96,STN COFFEE(에스티엔 커피),"인천광역시 중구 영종해안북로 1000-26, 1층 (운서동, 인천국제공항문화복지관)",인천광역시 중구 운서동 2850 인천국제공항문화복지관 1층 ,2022-08-12
97,cup of coffee(컵오브커피 차이나타운점),"인천광역시 중구 차이나타운로44번길 12-1 (북성동2가, 1,2층)","인천광역시 중구 북성동2가 9-4 1,2층 ",2022-08-12
98,(주)달콤커피 동성주유소점,"인천광역시 중구 축항대로 299, 1층 (신흥동3가)",인천광역시 중구 신흥동3가 34 1층 ,2022-08-12
99,막내네,"인천광역시 중구 우현로 지하 69, 지하1층 (인현동, 중앙로지하상가 백화점6호)",인천광역시 중구 인현동 84-1 중앙로지하상가 백화점6호 ,2022-08-12
100,체이스커피(chase coffee),"인천광역시 중구 운서로7번길 49, 보니또 1층 (운서동)",인천광역시 중구 운서동 3063-1 보니또 1층 ,2022-08-12
101,커피온니(COFFEE 온니),"인천광역시 중구 연안부두로 16, 1층층 (항동7가)",인천광역시 중구 항동7가 60 1층 ,2022-08-12
102,카페일리오,"인천광역시 중구 모랫말로 6-12, 101호 (운서동)",인천광역시 중구 운서동 3114-7 101호,2022-08-12
103,플로스 로비라운지,"인천광역시 중구 영종해안남로 19-5, 네스트호텔 2층 (운서동)",인천광역시 중구 운서동 2877 ,2022-08-12
104,더선셋카페(The sunset cafe),"인천광역시 중구 자유공원서로 21, 1층 (북성동3가)",인천광역시 중구 북성동3가 4-11 1층 ,2022-08-12
105,티파니,"인천광역시 중구 떼무리길 25-1, 1층 (무의동)",인천광역시 중구 무의동 852 1층 일부 ,2022-08-12
106,풍경이있는커피,"인천광역시 중구 연안부두로33번길 4, 2층 (항동7가)",인천광역시 중구 항동7가 58-50 2층 ,2022-08-12
107,이디야 월미도점,"인천광역시 중구 월미로234번길 10, 1층 101호 (북성동1가)",인천광역시 중구 북성동1가 98-446 1층 101호 ,2022-08-12
108,엔제리너스 인천공항 T2 3F점,"인천광역시 중구 제2터미널대로 446, 인천공항제2터미널 면세동 3층 (운서동)",인천광역시 중구 운서동 2868 ,2022-08-12
109,엔제리너스 인천공항 T2 B1점,"인천광역시 중구 공항로 272, 인천국제공항제2교통센터 지하1층 (운서동)",인천광역시 중구 운서동 2868 인천공항제2교통센터 지하1층 ,2022-08-12
110,(주)커피빈코리아 인천공항제2여객터미널입국점,"인천광역시 중구 제2터미널대로 446, 인천공항제2터미널 일반동 1층 (운서동)",인천광역시 중구 운서동 2868 ,2022-08-12
111,더벤티 영종도운서역점,"인천광역시 중구 신도시남로142번길 6, 메가스타 영종 119호 (운서동)",인천광역시 중구 운서동 2803-1 메가스타 영종 119호,2022-08-12
112,카페사푼사푼 인천공항점,"인천광역시 중구 제2터미널대로 446, 인천공항제2터미널 면세동 3층 (운서동)",인천광역시 중구 운서동 2868 ,2022-08-12
