단속일시,단속원금,단속동,단속장소,위반내용,견인지시
2023-01-02 22:01,80000,화양동,495-8,특별구역,미견인
2023-01-02 22:01,40000,광장동,554-7,교차로,미견인
2023-01-03 2:47,40000,자양동,718-1,교차로,미견인
2023-01-03 7:02,40000,군자동,광진광장,주정차금지(황색실선)구역,미견인
2023-01-03 7:02,32000,능동,어린이대공원 정문,주차금지(황색점선)구역,미견인
2023-01-03 7:17,32000,구의동,지너스타워 주차장 앞,주정차금지(황색실선)구역,미견인
2023-01-03 7:57,32000,능동,어린이대공원 정문,주차금지(황색점선)구역,미견인
2023-01-03 8:06,32000,구의동,강변역 1번 출구,주정차금지(황색실선)구역,미견인
2023-01-03 9:07,40000,구의동,강변역 4번 출구,안전지대,미견인
2023-01-03 9:09,120000,중곡동,신성그랜드타워 앞,보도,미견인
2023-01-03 9:20,40000,자양동,자양동 동제한의원 앞,주차금지(황색점선)구역,미견인
2023-01-03 10:17,32000,구의동,프라임아파트 정문(213동),주정차금지(황색실선)구역,미견인
2023-01-03 10:17,40000,중곡동,MB모터스 옆,주차금지(황색점선)구역,미견인
2023-01-03 10:18,32000,화양동,건대입구 3번 출구 앞,횡단보도,미견인
2023-01-03 10:27,96000,중곡동,신성그랜드타워 앞,보도,미견인
2023-01-03 11:02,32000,구의동,강변역 1번 출구,주정차금지(황색실선)구역,미견인
2023-01-03 11:10,32000,화양동,건대입구 3번 출구 앞,주차금지(황색점선)구역,미견인
2023-01-03 11:24,96000,자양동,성자초등학교 옆,주차금지(황색점선)구역,미견인
2023-01-03 11:46,32000,화양동,서울특별시 광진구 아차산로 205,보도,미견인
2023-01-03 11:50,32000,군자동,두산위브 앞,주차금지(황색점선)구역,미견인
2023-01-03 11:59,32000,중곡동,맘스터치 앞,주정차금지(황색실선)구역,미견인
2023-01-03 12:07,40000,중곡동,서울특별시 광진구 능동로 372,보도,미견인
2023-01-03 12:11,40000,군자동,광진광장,안전지대,미견인
2023-01-03 12:37,32000,중곡동,서울특별시 광진구 능동로 378,보도,미견인
2023-01-03 12:45,40000,자양동,712,버스정류소,미견인
2023-01-03 13:56,32000,중곡동,서울특별시 광진구 면목로 156,보도,미견인
2023-01-03 14:09,32000,구의동,리젠트오피스텔건너편,교통소통장애,미견인
2023-01-03 14:16,40000,자양동,794-10,보도,미견인
2023-01-03 14:27,40000,자양동,자양동 동제한의원 앞,주차금지(황색점선)구역,미견인
2023-01-03 14:31,32000,광장동,광장 힐스테이 상가 건너편,주차금지(황색점선)구역,미견인
2023-01-03 14:33,40000,화양동,건대입구 1번 출구 앞,안전지대,미견인
2023-01-03 15:31,40000,군자동,군자빌딩,주정차금지(황색실선)구역,미견인
2023-01-03 16:12,16000,자양동,한국보건의료인 국가시험원 앞,보도,미견인
2023-01-03 16:14,32000,중곡동,서울 광진구 중곡동 266-5,보도,미견인
2023-01-03 16:55,32000,군자동,군자 메가박스 앞,주차금지(황색점선)구역,미견인
2023-01-03 17:10,32000,광장동,SK강평주유소 앞,주차금지(황색점선)구역,미견인
2023-01-03 17:25,40000,구의동,강변 스파랜드 앞,주차금지(황색점선)구역,미견인
2023-01-03 17:27,32000,중곡동,신성슈퍼마켓 앞,주차금지(황색점선)구역,미견인
2023-01-03 17:29,32000,구의동,구의동 웰츠타워 앞,횡단보도,미견인
2023-01-03 17:34,32000,구의동,지너스타워 주차장 앞,횡단보도,미견인
2023-01-03 17:58,40000,구의동,국민은행 앞,주차금지(황색점선)구역,미견인
2023-01-03 18:05,32000,자양동,파리바게트 앞,주차금지(황색점선)구역,미견인
2023-01-03 18:30,32000,군자동,광진광장,주정차금지(황색실선)구역,미견인
2023-01-03 18:30,50000,능동,어린이대공원 정문,주차금지(황색점선)구역,미견인
2023-01-03 18:38,40000,구의동,프라임아파트 정문(213동),주정차금지(황색실선)구역,미견인
2023-01-03 18:59,40000,자양동,파리바게트 앞,주차금지(황색점선)구역,미견인
2023-01-03 19:12,32000,중곡동,신성슈퍼마켓 앞,주차금지(황색점선)구역,미견인
2023-01-03 19:13,32000,중곡동,신성슈퍼마켓 앞,주차금지(황색점선)구역,미견인
2023-01-03 19:19,120000,중곡동,신성그랜드타워 앞,보도,미견인
2023-01-03 19:25,32000,광장동,238,보도,미견인
