단속일시,단속원금,단속동,단속장소,위반내용,견인지시,경도,위도,행정동코드,행정동명
2023-03-15 16:05,32000,자양동,파리바게트 앞,주차금지(황색점선)구역,미견인,123.7417741,32.5220203,,
2023-03-15 16:11,96000,자양동,성동초등학교 앞,주정차금지(황색실선)구역,미견인,127.0370614,37.5633851,,
2023-03-15 16:11,32000,광장동,서울 광진구 광장동 566-1,교통소통장애,미견인,127.0967947,37.5425654,1121581000,광장동
2023-03-15 16:51,96000,구의동,서울 광진구 구의동 590-14 주차장진출입어려움,교통소통장애,미견인,127.0906038,37.5361295,1121587000,구의3동
2023-03-15 16:52,96000,구의동,서울 광진구 구의동 590-14 주차장진출입어려움,교통소통장애,미견인,127.0906038,37.5361295,1121587000,구의3동
2023-03-15 16:59,32000,화양동,건대입구 3번 출구 앞,주차금지(황색점선)구역,미견인,123.7417741,32.5220203,,
2023-03-15 17:04,32000,능동,서울 광진구 능동 270-10,보도,미견인,127.0869248,37.5529597,1121578000,능동
2023-03-15 17:13,40000,구의동,현대2단지아파트 앞,주정차금지(황색실선)구역,미견인,123.7417741,32.5220203,,
2023-03-15 17:16,32000,광장동,515-3,보도,미견인,123.7417741,32.5220203,,
2023-03-15 17:36,32000,구의동,강변역 1번 출구,주정차금지(황색실선)구역,미견인,123.7417741,32.5220203,,
2023-03-15 17:45,32000,광장동,올림픽대교북단사거리,주정차금지(황색실선)구역,미견인,123.7417741,32.5220203,,
2023-03-15 17:46,32000,자양동,자양호반써밋플레이스 앞,주차금지(황색점선)구역,미견인,123.7417741,32.5220203,,
2023-03-15 18:09,32000,구의동,동서울터미널 주차장 앞,주차금지(황색점선)구역,미견인,126.9778779,37.5664106,,
2023-03-15 18:14,32000,구의동,강변역 1번 출구,주정차금지(황색실선)구역,미견인,123.7417741,32.5220203,,
2023-03-15 18:16,32000,자양동,파리바게트 앞,주차금지(황색점선)구역,미견인,123.7417741,32.5220203,,
2023-03-15 18:26,32000,구의동,프라임아파트 정문(213동),주정차금지(황색실선)구역,미견인,123.7417741,32.5220203,,
2023-03-15 18:37,32000,자양동,서울 광진구 자양동 714,횡단보도,미견인,127.0813135,37.5343366,1121582000,자양1동
2023-03-15 18:37,32000,광장동,올림픽대교북단사거리,보도,미견인,123.7417741,32.5220203,,
2023-03-15 18:40,32000,구의동,리젠트오피스텔건너편,주차금지(황색점선)구역,미견인,123.7417741,32.5220203,,
2023-03-15 18:40,32000,자양동,성동초등학교 앞,주차금지(황색점선)구역,미견인,127.0370614,37.5633851,,
2023-03-15 18:55,32000,군자동,두산위브 앞,주차금지(황색점선)구역,미견인,123.7417741,32.5220203,,
2023-03-15 19:04,32000,광장동,올림픽대교북단사거리,주정차금지(황색실선)구역,미견인,123.7417741,32.5220203,,
2023-03-15 19:13,120000,중곡동,중곡지구대 앞,주차금지(황색점선)구역,미견인,123.7417741,32.5220203,,
2023-03-15 19:13,32000,구의동,서울 광진구 구의동 225-40,교통소통장애,미견인,127.0891041,37.542209,1121585000,구의1동
2023-03-15 19:20,32000,자양동,서울 광진구 자양동 57-2,교통소통장애,미견인,127.0639227,37.5325331,1121584700,자양4동
2023-03-15 19:22,32000,자양동,서울 광진구 자양동 57-2,교통소통장애,미견인,127.0639227,37.5325331,1121584700,자양4동
2023-03-15 19:23,32000,중곡동,서울 광진구 중곡동 647-17,보도,미견인,127.080119,37.5588087,1121574000,중곡1동
2023-03-15 19:23,32000,광장동,서울특별시 광진구 아차산로 503-23,교통소통장애,미견인,127.0962083,37.5423898,1121581000,광장동
2023-03-15 19:24,96000,광장동,서울특별시 광진구 아차산로 503-23,교통소통장애,미견인,127.0962083,37.5423898,1121581000,광장동
2023-03-15 19:25,32000,광장동,서울특별시 광진구 아차산로 503-23,교통소통장애,미견인,127.0962083,37.5423898,1121581000,광장동
2023-03-15 19:35,32000,광장동,서울특별시 광진구 아차산로 628,교통소통장애,미견인,127.1078357,37.5485422,1121581000,광장동
2023-03-15 19:36,32000,광장동,서울특별시 광진구 아차산로 628,교통소통장애,미견인,127.1078357,37.5485422,1121581000,광장동
2023-03-15 19:37,32000,광장동,486-1,교차로,미견인,123.7417741,32.5220203,,
2023-03-15 19:37,32000,광장동,서울특별시 광진구 아차산로 628,교통소통장애,미견인,127.1078357,37.5485422,1121581000,광장동
2023-03-15 19:38,32000,자양동,서울 광진구 자양동 553-606,보도,미견인,127.0673425,37.5359391,1121584700,자양4동
2023-03-15 19:39,32000,중곡동,서울 광진구 중곡동 668,소화전,미견인,127.0788427,37.5585915,1121574000,중곡1동
2023-03-15 19:42,40000,광장동,서울특별시 광진구 아차산로 599,교통소통장애,미견인,127.1049013,37.5469342,1121581000,광장동
2023-03-15 19:42,32000,광장동,서울특별시 광진구 아차산로 599,교통소통장애,미견인,127.1049013,37.5469342,1121581000,광장동
